,creative,market,dma,l,station,affiliate,airdate,airtime,media,daypart,program,programtype,category,categorystate,election,issue,level,race,tonecmag,adtypecmag,sponsorcmag,district,party,est_cost,state,sponsor,sponsor_name,cand,cand_id,cand_fec,tgt,tgt_id,tgt_fec,mag_wrd,phone,website,mail,twitter,youtube,approve,vid,f_mention,f_picture,f_narrate,f_camera,o_mention,o_picture,voice,ad_tone,cnt_prp,cnt_fin,ad_civ,prty_mn,per_ply,flag,prsment,demprscd,repprscd,gbush,bclinton,reagan,gophse,demhse,gopsen,demsen,congmt,washmt,democrats,republicans,cite1,cite2,cite3,cite4,cite5,cite90,cite90_txt,op_media,endorse1,endorse2,endorse3,endorse4,endorse5,endorse6,endorse90,endorse90_txt,fear,enthusiasm,anger,pride,humor,sadness,music0,music1,music2,music3,music90,music90_txt,mention1,mention2,mention3,mention4,mention5,mention6,mention7,mention8,mention14,mention15,mention16,mention17,mentionwc,mentionmc,mentionuc,mention18,mention19,mention20,mention21,mention22,mention23,mention24,mention25,issue10,issue11,issue12,issue13,issue14,issue15,issue16,issue17,issue18,issue19,issue20,issue21,issue22,issue23,issue30,issue31,issue101,issue32,issue33,issue34,issue35,issue36,issue37,issue38,issue39,issue102,issue40,issue41,issue44,issue42,issue45,issue43,issue50,issue51,issue52,issue53,issue59,issue54,issue55,issue56,issue57,issue58,issue60,issue61,issue62,issue63,issue64,issue65,issue66,issue67,issue68,issue69,issue70,issue71,issue72,issue73,issue74,issue80,issue82,issue83,issue84,issue90,issue91,issue92,issue93,issue94,issue95,issue96,issue97,issue97_txt,issue98,issue99,issue103,issue104,codingstatus,gov,house,senate,spanish,vidfile
1,HOUSE/AK01 LINDBECK BOB HOOYMAN,ANCHORAGE,743,30,KYUR,ABC,9/23/16,1/1/60 8:49,Spot TV,EARLY MORNING,GOOD MORNING AMERICA,NEWS FORUM/INTERVIEW/VARIED FORMAT,HOUSE/AK01,AK,GENERAL,ENERGY/ENVIRONMENT|JOBS/UNEMPLOYMENT|JOBS/UNEMPLOYMENT:  OUTSOURCING|ENERGY/ENVIRONMENT:  OIL|CAMPAIGN FINANCE REFORM,HOUSE,US HOUSE,NEGATIVE,CANDIDATE,"LINDBECK, STEVE",1,DEMOCRAT,20,AK,Candidate,NA,Fav cand mentioned,"Lindbeck, Steve",H6AK00235,Tgt cand mentioned,"Young, Don",H6AK00045,'Magic words',0,0,0,0,0,Beginning,"No, approval stated in voiceover",0,0,0,0,1,1,No,Attack,NA,NA,Mostly Civil,No,Both,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,No,No,Some Appeal,No,No,No,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AK01_LINDBECK_BOB_HOOYMAN
2,HOUSE/AK01 LINDBECK&DCCC IT'S JUST TIME,JUNEAU,747,30,KATH,NBC,11/2/16,1/1/60 15:59,Spot TV,EARLY FRINGE,DR OZ SHOW,TALK,HOUSE/AK01,AK,GENERAL,ECONOMY,HOUSE,US HOUSE,CONTRAST,CANDIDATE & PARTY,"LINDBECK, STEVE & DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE",1,DEMOCRAT,10,AK,Coordinated between a candidate and party,Democratic Congressional Campaign Committee,Fav cand mentioned,"Lindbeck, Steve",H6AK00235,Tgt cand mentioned,"Young, Don",H6AK00045,No 'magic words',0,0,0,0,0,End,Yes,1,1,1,1,1,0,No,Contrast,More Attack Than Promote,Finishes by Promoting,Mostly Civil,No,Personal,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,No,Some Appeal,Some Appeal,No,No,No,0,0,1,0,0, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AK01_LINDBECK_DCCC_IT'S_JUST_TIME
13,HOUSE/AL01 BYRNE 100 PERCENT,MOBILE,686,30,WEAR,ABC,2/15/16,1/1/60 12:28,Spot TV,DAYTIME,CHEW-ABC,TALK,HOUSE/AL01,AL,PRIMARY,SOCIAL ISSUES|SOCIAL ISSUES:  ABORTION|NATIONAL DEFENSE|IMMIGRATION:  ANTI|IMMIGRATION|GUN CONTROL|GUNS:  ANTI-GUN CONTROL,HOUSE,US HOUSE,POSITIVE,CANDIDATE,"BYRNE, BRADLEY",1,REPUBLICAN,160,AL,Candidate,NA,Fav cand mentioned,"Byrne, Bradley",H4AL01123,Tgt cand not mentioned, ,,"Yes, 'magic words', but only in PFB",0,0,0,0,0,End,"No, approval stated in voiceover",1,1,0,0,0,0,Male,Promote,NA,NA,NA,No,Both,1,"Yes, disapproval",No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,0,0,0,0, ,NA,0,0,0,1,0,0,0, ,No,Strong Appeal,No,No,No,No,0,0,1,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AL01_BYRNE_100_PERCENT
14,HOUSE/AL01 BYRNE DANGEROUS TIMES,MOBILE,686,30,WPMI,NBC,2/21/16,1/1/60 17:32,Spot TV,EARLY FRINGE,NBC NIGHTLY NEWS WEEKEND,NEWSCAST(CABLE/NETWORK ONLY),HOUSE/AL01,AL,PRIMARY,NATIONAL DEFENSE|BUDGET/GOVERNMENT SPENDING|JOBS/UNEMPLOYMENT|DEFENSE/AEROSPACE,HOUSE,US HOUSE,POSITIVE,CANDIDATE,"BYRNE, BRADLEY",1,REPUBLICAN,220,AL,Candidate,NA,Fav cand mentioned,"Byrne, Bradley",H4AL01123,Tgt cand not mentioned, ,,No 'magic words',0,0,0,0,0,End,"No, approval stated in voiceover",1,1,0,0,0,0,Female,Promote,NA,NA,NA,No,Both,0,"Yes, disapproval",No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,No,Strong Appeal,No,No,No,No,0,0,1,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AL01_BYRNE_DANGEROUS_TIMES
37,HOUSE/AR02 HILL NOT MY DAD,LITTLE ROCK,693,30,KTHV,CBS,2/11/16,1/1/60 17:15,Spot TV,EARLY NEWS,THV11 NEWS AT 5,NEWSCAST (LOCAL ONLY),HOUSE/AR02,AR,PRIMARY,VETERANS AFFAIRS,HOUSE,US HOUSE,POSITIVE,CANDIDATE,"HILL, FRENCH",2,REPUBLICAN,700,AR,Candidate,NA,Fav cand mentioned,"Hill, French",H4AR02141,Tgt cand not mentioned, ,,'Magic words',0,1,0,0,0,End,"No, approval stated in voiceover",1,1,1,1,0,0,No,Promote,NA,NA,NA,No,Policy,0,No,No,No,No,No,No,No,No,No,No,No,"Yes, disapproval",No,No,0,0,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,No,Some Appeal,No,No,No,No,0,0,1,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AR02_HILL_NOT_MY_DAD
38,HOUSE/AR02 HILL OLD BLUE,LITTLE ROCK,693,30,KATV,ABC,11/4/16,1/1/60 18:34,Spot TV,PRIME ACCESS,WHEEL OF FORTUNE,GAME SHOW,HOUSE/AR02,AR,GENERAL,VETERANS AFFAIRS|ECONOMY,HOUSE,US HOUSE,POSITIVE,CANDIDATE,"HILL, FRENCH",2,REPUBLICAN,850,AR,Candidate,NA,Fav cand mentioned,"Hill, French",H4AR02141,Tgt cand not mentioned, ,,No 'magic words',0,0,0,0,0,End,Yes,1,1,1,0,0,0,Male,Promote,NA,NA,NA,No,Policy,1,No,No,No,No,No,No,No,No,No,No,No,"Yes, disapproval",No,No,0,0,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,No,Strong Appeal,No,No,No,No,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AR02_HILL_OLD_BLUE
54,HOUSE/AZ02 HEINZ BOBBIE THAYER,TUCSON,789,30,KMSB,FOX,9/18/16,1/1/60 20:47,Spot TV,PRIME TIME,LAST MAN ON EARTH-FOX,SITUATION COMEDY,HOUSE/AZ02,AZ,PRIMARY,HEALTHCARE,HOUSE,US HOUSE,POSITIVE,CANDIDATE,"HEINZ, MATT",2,DEMOCRAT,810,AZ,Candidate,NA,Fav cand mentioned,"Heinz, Matt",H2AZ08078,Tgt cand not mentioned, ,,No 'magic words',0,0,0,0,0,End,"No, approval stated in voiceover",1,1,0,0,0,0,No,Promote,NA,NA,NA,No,Personal,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,No,Strong Appeal,No,No,No,Some Appeal,0,0,1,1,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AZ02_HEINZ_BOBBIE_THAYER
55,HOUSE/AZ02 HEINZ DIFFERENT THAN THE REST,TUCSON,789,30,KGUN,ABC,9/30/16,1/1/60 18:25,Spot TV,PRIME ACCESS,KGUN 9 NEWS AT 6:00PM,NEWSCAST (LOCAL ONLY),HOUSE/AZ02,AZ,GENERAL,VETERANS AFFAIRS|SOCIAL ISSUES:  ABORTION|IRAQ/AFGHAN WAR|SOCIAL ISSUES:  WOMEN'S RIGHTS|SOCIAL ISSUES|BUDGET/GOVERNMENT SPENDING|PRESCRIPTION DRUGS:  COST|PRESCRIPTION DRUGS,HOUSE,US HOUSE,NEGATIVE,CANDIDATE,"HEINZ, MATT",2,DEMOCRAT,530,AZ,Candidate,NA,Fav cand mentioned,"Heinz, Matt",H2AZ08078,Tgt cand mentioned,"McSally, Martha",H2AZ08102,'Magic words',0,0,0,0,0,End,"No, approval stated in voiceover",0,0,0,0,1,1,No,Attack,NA,NA,Mostly Civil,No,Both,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,1,0, ,NA,0,0,0,0,0,0,0, ,No,No,Some Appeal,No,No,No,0,1,0,0,0, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AZ02_HEINZ_DIFFERENT_THAN_THE_REST
60,HOUSE/AZ02 MCSALLY AIR WAR,TUCSON,789,30,KTTU,MNTV,9/19/16,1/1/60 22:57,Spot TV,LATE FRINGE,FAMILY FEUD,GAME SHOW,HOUSE/AZ02,AZ,GENERAL,TERRORISM|IRAQ/AFGHAN WAR|IMMIGRATION:  ANTI|NATIONAL DEFENSE|DEFENSE/AEROSPACE|IMMIGRATION,HOUSE,US HOUSE,POSITIVE,CANDIDATE,"MCSALLY, MARTHA",2,REPUBLICAN,40,AZ,Candidate,NA,Fav cand mentioned,"McSally, Martha",H2AZ08102,Tgt cand not mentioned, ,,'Magic words',0,0,0,0,0,End,"No, approval stated in voiceover",1,1,1,1,0,0,No,Promote,NA,NA,NA,No,Personal,1,No,No,No,No,No,No,No,No,No,No,"Yes, unclear","Yes, unclear",No,No,0,0,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,Some Appeal,Strong Appeal,No,No,No,No,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Fully coded,0,1,0,0,HOUSE_AZ02_MCSALLY_AIR_WAR
71,HOUSE/AZ02 MCSALLY MY DAD 60,TUCSON,789,60,KOLD,CBS,8/4/16,1/1/60 16:24,Spot TV,EARLY FRINGE,NEWS 13 AT 4PM,NEWSCAST (LOCAL ONLY),HOUSE/AZ02,AZ,PRIMARY,N/A,HOUSE,US HOUSE,POSITIVE,CANDIDATE,"MCSALLY, MARTHA",2,REPUBLICAN,330,AZ,Candidate,NA,Fav cand mentioned,"McSally, Martha",H2AZ08102,Tgt cand not mentioned, ,,'Magic words',0,0,0,0,0,End,"No, approval stated in voiceover",1,1,1,1,0,0,No,Promote,NA,NA,NA,No,Personal,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0, ,NA,0,0,0,0,0,0,0, ,No,No,No,No,No,No,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,Partially coded,0,1,0,0,HOUSE_AZ02_MCSALLY_MY_DAD_60
